GENE1,GENE2,WEIGHT
TP53BP2,CDKN1A,0.13239528007946247
TP53BP1,TP53,0.5872892821753166
TP53BP1,ABL1,0.16317818670951018
TP53BP1,UBE2I,0.2465272417733139
TP53BP1,HDAC1,0.2403874897653688
TP53BP1,ATM,0.4179574690719557
TP53,PNP,0.8306706318392082
TP53,STX5,0.6255821493482212
TP53,MAZ,0.5931821057878665
TP53,SP1,0.6400370797772036
TP53,MDM4,0.6249278686756052
TP53,MDM2,0.7506947735396233
TP53,SMARCC1,0.7363611771576586
TP53,EP300,0.7919183700633748
TP53,GNL3,0.5814757255757337
TP53,CDKN2C,0.7060943675281448
TP53,NPM1,0.8649074946376464
TP53,SAT1,0.6781931431367135
TP53,CCL18,0.627686049090128
TP53,KAT5,0.6340634554712475
TP53,ABL1,0.6725047511874508
TP53,XRCC1,0.5991693439548462
TP53,UBE2I,0.7518566179661544
TP53,HDAC1,0.9026292623559514
TP53,BTBD2,0.8427814124018532
TP53,CDKN1A,0.6364068028215253
TP53,PML,0.8197314391140739
TP53,TK1,0.8662649310787528
TP53,ARIH2,0.7472130768417724
TP53,HSPB1,0.7836437418605342
TP53,PCDHA4,0.6580443147201726
TP53,ATM,0.7349541659717992
PNP,MAZ,0.10879236453320348
PNP,SMARCC1,0.21016058866635104
PNP,GNL3,0.15677460454800696
PNP,CDKN2C,0.1013821105383789
PNP,NPM1,0.1468172856829438
PNP,SAT1,0.2953810040538486
PNP,CCL18,0.15135827137037644
PNP,ABL1,0.13217254819080843
PNP,HDAC1,0.22417617177716578
PNP,CDKN1A,0.419352321616392
PNP,PML,0.12491962701205095
PNP,TK1,0.2962047051619414
PNP,ARIH2,0.1624821106253729
PNP,HSPB1,0.2547872553833467
PNP,ATM,0.15593738888240619
STX5,KAT5,0.27561008994113634
STX5,CDKN1A,0.11955356697869969
STX5,PML,0.1271998086371257
MAZ,MDM2,0.11020642692025841
MAZ,SMARCC1,0.18548490398568018
MAZ,CDKN2C,0.1398554941953997
MAZ,KAT5,0.22829580591126314
MAZ,ABL1,0.15178781054832993
MAZ,XRCC1,0.19280367063259654
MAZ,UBE2I,0.10839929586354721
MAZ,BTBD2,0.5319894599287497
MAZ,PML,0.1978114302161872
MAZ,TK1,0.3059082933774765
MAZ,HSPB1,0.12938539912523983
MAZ,PCDHA4,0.11083460248693658
SP1,MDM4,0.12083267067404542
SP1,MDM2,0.2088924310252901
SP1,SMARCC1,0.3587565932500911
